Code,Borough,Own_Outright,Buying with mortgage,Rented from Local Authority or Housing Association,Rented from Private landlord,,,,,,,
E09000001,City of London,,,,,209.52122,,,,,,
E09000002,Barking and Dagenham,22.0,26.9,30.4,20.7,59.246719,,,,,,
E09000003,Barnet,31.7,29.3,13.9,25.2,89.803606,,,,,,
E09000004,Bexley,35.8,38.7,10.4,15.1,65.969697,,,,,,
E09000005,Brent,21.9,25.4,23.5,29.2,100.320199,,,,,,
E09000006,Bromley,30.8,36.8,13.3,19.1,71.495409,,,,,,
E09000007,Camden,22.0,14.5,35.3,28.2,134.644442,,,,,,
E09000008,Croydon,26.2,37.0,17.6,19.2,58.140643,,,,,,
E09000009,Ealing,29.9,33.3,11.2,25.6,100.247022,,,,,,
E09000010,Enfield,30.1,24.7,19.0,26.2,76.418049,,,,,,
E09000011,Greenwich,21.6,32.6,26.1,19.7,99.666963,,,,,,
E09000012,Hackney,11.3,18.3,42.9,27.4,89.67223,,,,,,
E09000013,Hammersmith and Fulham,23.1,19.0,28.6,29.3,130.214894,,,,,,
E09000014,Haringey,25.5,23.0,23.4,28.2,92.239021,,,,,,
E09000015,Harrow,32.4,29.5,9.3,28.8,79.084567,,,,,,
E09000016,Havering,30.8,39.0,16.3,13.9,67.882591,,,,,,
E09000017,Hillingdon,24.0,37.8,18.4,19.8,60.451494,,,,,,
E09000018,Hounslow,24.3,32.4,21.7,21.6,97.180144,,,,,,
E09000019,Islington,19.9,18.6,34.1,27.4,120.62927,,,,,,
E09000020,Kensington and Chelsea,26.2,11.7,35.6,26.6,191.254569,,,,,,
E09000021,Kingston upon Thames,33.1,30.6,9.5,26.9,85.33447,,,,,,
E09000022,Lambeth,15.7,24.2,36.5,23.5,94.889265,,,,,,
E09000023,Lewisham,14.8,34.4,27.4,23.4,82.352265,,,,,,
E09000024,Merton,28.7,32.8,12.5,26.0,111.460489,,,,,,
E09000025,Newham,18.6,23.0,27.2,31.3,83.756255,,,,,,
E09000026,Redbridge,27.7,33.5,8.9,29.9,80.051494,,,,,,
E09000027,Richmond upon Thames,34.9,34.3,10.9,19.9,125.371759,,,,,,
E09000028,Southwark,13.0,23.6,38.1,25.3,105.462636,,,,,,
E09000029,Sutton,32.8,36.4,10.3,20.5,89.269327,,,,,,
E09000030,Tower Hamlets,13.7,18.2,31.8,36.2,93.005362,,,,,,
E09000031,Waltham Forest,23.0,38.4,19.2,19.4,68.967381,,,,,,
E09000032,Wandsworth,20.9,33.4,14.5,31.2,117.487531,,,,,,
E09000033,Westminster,24.9,12.2,30.3,32.6,192.792903,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
